套件名稱,引用套件名稱,套件 Repo URL,License 名稱,License URL,備註
@jest/test-sequencer,,https://github.com/jestjs/jest,MIT License,https://github.com/jestjs/jest/blob/main/LICENSE,
@jest/transform,,https://github.com/jestjs/jest,MIT License,https://github.com/jestjs/jest/blob/main/LICENSE,
@jest/types,,https://github.com/jestjs/jest,MIT License,https://github.com/jestjs/jest/blob/main/LICENSE,
@jridgewell/gen-mapping,,https://github.com/jridgewell/sourcemaps,非標準 (),,License type could not be determined
@jridgewell/remapping,,https://github.com/jridgewell/sourcemaps,非標準 (),,License type could not be determined
@jridgewell/resolve-uri,,https://github.com/jridgewell/resolve-uri,MIT License,https://github.com/jridgewell/resolve-uri/blob/main/LICENSE,
@jridgewell/sourcemap-codec,,https://github.com/jridgewell/sourcemaps,非標準 (),,License type could not be determined
@jridgewell/trace-mapping,,https://github.com/jridgewell/sourcemaps,非標準 (),,License type could not be determined
@napi-rs/wasm-runtime,,https://github.com/napi-rs/napi-rs,Other,https://github.com/napi-rs/napi-rs/blob/main/LICENSE,
@next/env,,https://github.com/vercel/next.js,MIT License,https://github.com/vercel/next.js/blob/canary/license.md,
@next/eslint-plugin-next,,https://github.com/vercel/next.js,MIT License,https://github.com/vercel/next.js/blob/canary/license.md,
@next/swc-darwin-arm64,,https://github.com/vercel/next.js,MIT License,https://github.com/vercel/next.js/blob/canary/license.md,
@next/swc-darwin-x64,,https://github.com/vercel/next.js,MIT License,https://github.com/vercel/next.js/blob/canary/license.md,
@next/swc-linux-arm64-gnu,,https://github.com/vercel/next.js,MIT License,https://github.com/vercel/next.js/blob/canary/license.md,
@next/swc-linux-arm64-musl,,https://github.com/vercel/next.js,MIT License,https://github.com/vercel/next.js/blob/canary/license.md,
@next/swc-linux-x64-gnu,,https://github.com/vercel/next.js,MIT License,https://github.com/vercel/next.js/blob/canary/license.md,
@next/swc-linux-x64-musl,,https://github.com/vercel/next.js,MIT License,https://github.com/vercel/next.js/blob/canary/license.md,
@next/swc-win32-arm64-msvc,,https://github.com/vercel/next.js,MIT License,https://github.com/vercel/next.js/blob/canary/license.md,
@next/swc-win32-x64-msvc,,https://github.com/vercel/next.js,MIT License,https://github.com/vercel/next.js/blob/canary/license.md,
@nicolo-ribaudo/eslint-scope-5-internals,,,,,Repository URL not found
@nodelib/fs.scandir,,https://github.com/nodelib/nodelib,MIT License,https://github.com/nodelib/nodelib/blob/master/LICENSE,
@nodelib/fs.stat,,https://github.com/nodelib/nodelib,MIT License,https://github.com/nodelib/nodelib/blob/master/LICENSE,
@nodelib/fs.walk,,https://github.com/nodelib/nodelib,MIT License,https://github.com/nodelib/nodelib/blob/master/LICENSE,
@nolyfill/is-core-module,,https://github.com/SukkaW/nolyfill,MIT License,https://github.com/SukkaW/nolyfill/blob/master/LICENSE,
@redux-saga/core,,https://github.com/redux-saga/redux-saga,MIT License,https://github.com/redux-saga/redux-saga/blob/main/LICENSE,
@redux-saga/deferred,,https://github.com/redux-saga/redux-saga,MIT License,https://github.com/redux-saga/redux-saga/blob/main/LICENSE,
